sku,name,tax_class_name,price,SKU
6095,Haczyk MILO P132 BUR 20szt – 12,23,16.67,MIL-367
6096,Haczyk MILO P132 BUR 20szt – 14,23,16.67,MIL-366
6097,Haczyk MILO P132 BUR 20szt – 16,23,16.67,MIL-365
6098,Haczyk MILO P132 BUR 20szt – 18,23,16.67,MIL-364
6099,Haczyk MILO P132 BUR 20szt – 20,23,16.67,MIL-363
6109,Haczyki MILO AS CARBONE 110 20szt – 10,23,14.63,MIL-607
6110,Haczyki MILO AS CARBONE 110 20szt – 12,23,14.63,MIL-606
6111,Haczyki MILO AS CARBONE 110 20szt – 14,23,14.63,MIL-605
6112,Haczyki MILO AS CARBONE 110 20szt – 16,23,14.63,MIL-604
6113,Haczyki MILO AS CARBONE 110 20szt – 18,23,14.63,MIL-603
6114,Haczyki MILO AS CARBONE 110 20szt – 20,23,14.63,MIL-602
6115,Haczyki MILO AS CARBONE 110 20szt – 22,23,14.63,MIL-601
6116,Haczyki MILO AS CARBONE 110 20szt – 24,23,14.63,MIL-600
6117,Haczyki MILO AS CARBONE 110 20szt – 6,23,14.63,MIL-609
6118,Haczyki MILO AS CARBONE 110 20szt – 8,23,14.63,MIL-608
6133,Żyłka Tubertini Erre Hookline 50m – 0.07mm,23,23.98,29963XX
6134,Żyłka Tubertini Erre Hookline 50m – 0.08mm,23,23.98,29964XX
6135,Żyłka Tubertini Erre Hookline 50m – 0.09mm,23,23.98,29965XX
6136,Żyłka Tubertini Erre Hookline 50m - 0.10mm,23,23.98,29966XX
6137,Żyłka Tubertini Erre Hookline 50m – 0.12mm,23,23.98,29968XX
6138,Żyłka Tubertini Erre Hookline 50m – 0.14mm,23,23.98,29969XX
6139,Żyłka Tubertini Erre Hookline 50m – 0.16mm,23,23.98,29970XX
6143,Żyłka Tubertini Erre Due 150m – 0.16mm,23,24.39,21903XX 
6144,Żyłka Tubertini Erre Due 150m – 0.18mm,23,24.39,21904XX  
6145,Żyłka Tubertini Erre Due 150m – 0.20mm,23,24.39,21905XX
6146,Żyłka Tubertini Erre Due 150m – 0.22mm,23,24.39,21906XX
6147,Żyłka Tubertini Erre Due 150m – 0.26mm,23,24.39,21907XX
6151,Opaska Matrix Rod Bands 2szt,23,21.38,GAC295
6154,Matrix Pole & Net Rest,23,16.91,GAC348
6157,Matrix EVA Rig Discs x6,23,26.1,GAC353
6164,Szybkozłączka z krętlikiem Matrix 7szt – 18,23,10.57,GAC366
6165,Szybkozłączka z krętlikiem Matrix 7szt – 20,23,10.57,GAC365
6166,Łącznik Matrix X-Strong Feeder Snap Link,23,10.57,GAC373
6172,Feeder Link Matrix 4 / 6 / 8 cm X-Strong 3szt – 4cm,23,14.15,GAC403
6173,Feeder Link Matrix 4 / 6 / 8 cm X-Strong 3szt – 6cm,23,14.15,GAC404
6174,Feeder Link Matrix 4 / 6 / 8 cm X-Strong 3szt – 8cm,23,14.15,GAC405
6175,Grzebień mocowany do platformy D25/30/36 MATRIX,23,175.04,GBA015
6187,Matrix 3D-R Protector Bar Long,23,64.07,GBA018
6192,Matrix EVA Butt Rest,23,68.29,GBA028
6195,Matrix 3D-R Multi Angle Rod Holder,23,195.53,GBA034
6200,Mega Feeder Arm 130cm D25/30/36 MATRIX,23,221.95,GBA043
6216,Plecionka Matrix Submerge Feeder Braid 0.08/0.10mm – 0.08,23,95.61,GBL001
6217,Plecionka Matrix Submerge Feeder Braid 0.08/0.10mm – 0.10,23,95.61,GBL002
6222,Pudełko Matrix Double Sided Feeder & Tackle box – do przechowywania koszyków,23,117.8,GBX001
6232,Matrx Small HLR Rig Case – pudełko na przypony 10-15cm,23,48.78,GBX002
